iter	RMSE
0	1.008542981
1	0.996810184
2	0.9892360188
3	0.981437725
4	0.9733546992
5	0.9661230766
6	0.9600121442
7	0.9532700218
8	0.9478420492
9	0.9416099718
10	0.9370159544
11	0.9351030481
12	0.9311970803
13	0.9275626713
14	0.9253907573
15	0.9223961118
16	0.9193028116
17	0.9169330523
18	0.9140332287
19	0.9116976849
20	0.9083861982
21	0.9060679012
22	0.9035668506
23	0.9012286964
24	0.8990013935
25	0.897748736
26	0.8965798483
27	0.8936838094
28	0.8914870468
29	0.8898879096
30	0.8882232297
31	0.8871027919
32	0.8854917386
33	0.884276163
34	0.8832058527
35	0.8815860804
36	0.8797169643
37	0.8789522005
38	0.8777667016
39	0.8768993258
40	0.8759205733
41	0.8749810199
42	0.874042091
43	0.8727392134
44	0.8715195442
45	0.8707893638
46	0.869888201
47	0.8685413666
48	0.8674548954
49	0.8664594184
50	0.8658039275
51	0.8651203774
52	0.8639114401
53	0.863145808
54	0.8619887143
55	0.8612672117
56	0.8602899756
57	0.859426181
58	0.858575035
59	0.8578294717
60	0.8570147375
61	0.8561082488
62	0.8554098313
63	0.854543907
64	0.8535217367
65	0.8527815899
66	0.8519362148
67	0.8509744195
68	0.8503532854
69	0.8497262132
70	0.8490135834
71	0.8486004861
72	0.8479572532
73	0.8468060349
74	0.8461418335
75	0.8453597425
76	0.8444825044
77	0.8436846346
78	0.8426640339
79	0.8421948588
80	0.8416549577
81	0.8408294096
82	0.8402080257
83	0.8392606267
84	0.8384414558
85	0.8373858976
86	0.8373113574
87	0.8365924261
88	0.8355967042
89	0.8348095644
90	0.8337811939
91	0.8332768057
92	0.8320837973
93	0.8313317393
94	0.8306546504
95	0.8296120588
96	0.8284593342
97	0.8274221683
98	0.8267350081
99	0.8264326986
