iter	Passed	Remaining
0	5	561
1	7	362
2	9	292
3	11	281
4	13	252
5	14	233
6	16	220
7	18	208
8	19	199
9	21	191
10	22	184
11	24	177
12	25	171
13	28	172
14	29	168
15	31	164
16	32	160
17	34	156
18	35	152
19	37	149
20	38	145
21	40	142
22	41	139
23	43	138
24	45	136
25	47	134
26	48	132
27	50	129
28	51	126
29	53	124
30	54	121
31	56	119
32	58	118
33	59	116
34	61	114
35	63	112
36	64	110
37	66	107
38	67	105
39	68	103
40	70	101
41	71	98
42	73	96
43	74	95
44	76	93
45	77	91
46	79	89
47	80	87
48	82	85
49	83	83
50	84	81
51	86	79
52	87	77
53	88	75
54	90	74
55	92	72
56	93	70
57	95	68
58	96	67
59	97	65
60	99	63
61	100	61
62	102	60
63	103	58
64	104	56
65	106	54
66	108	53
67	109	51
68	111	49
69	112	48
70	113	46
71	115	44
72	116	43
73	118	41
74	119	39
75	121	38
76	123	36
77	124	35
78	126	33
79	127	31
80	129	30
81	130	28
82	132	27
83	133	25
84	135	23
85	136	22
86	137	20
87	139	18
88	140	17
89	141	15
90	143	14
91	144	12
92	146	11
93	147	9
94	149	7
95	150	6
96	152	4
97	154	3
98	156	1
99	157	0
